ViolentCrimesPerPop	Population	PercentageBlack	PercentageWhite	PercentageAsian	PercentageHispanic	PercentageUrban	MedIncome
0.2	0.03	0.35	0.72	0.01	0.01	1	0.18
0.03	0.06	0	0.95	0.03	0.01	1	0.27
0.02	0.01	0.01	0.94	0.09	0.06	0	0.13
0.09	0.04	0.2	0.83	0.03	0.01	0	0.26
0.09	0.02	0.1	0.86	0.23	0.05	1	0.58
0.02	0.01	0.02	0.86	0.5	0.03	0.9	1
0.11	0.03	0.08	0.92	0.07	0.03	0.94	0.5
0.07	0.05	0.18	0.85	0.04	0.01	0	0.15
0.04	0.01	0.17	0.77	0.31	0.1	1	0.46
0.09	0.02	0.09	0.91	0.04	0.02	0	0.19
0.07	0.06	0.02	0.96	0.06	0.02	1	0.47
0.15	0.04	0.01	0.89	0.06	0.2	1	0.26
0.28	0.02	0.02	0.68	0.02	1	0	0.12
0.19	0.01	0.09	0.92	0.01	0.01	0	0.23
0.27	0.03	0.37	0.29	1	0.2	1	0.29
0.1	0.09	0.01	0.98	0.04	0.02	1	0.3
1	0.07	0.35	0.71	0.04	0.02	1	0.18
0.22	0.01	0.01	0.98	0.03	0.04	1	0.11
0.37	0.09	0.11	0.61	0.85	0.28	1	0.4
0.24	0.01	0.34	0.49	0.09	0.49	0	0.23
0.15	0.01	0.11	0.89	0.09	0.02	0	0.24
0.49	0.03	0	0.99	0.01	0.02	1	0.35
0.02	0	0.03	0.88	0.4	0.03	1	1
0.23	0.01	0.01	0.98	0.03	0.01	0.05	0.43
0	0	0.01	0.99	0.02	0.02	0.87	0.33
0.11	0.01	0	0.98	0.03	0.02	0	0.24
0.04	0.01	0.03	0.92	0.13	0.03	1	0.16
0.08	0	0.02	0.96	0.08	0.05	1	0.57
0.04	0.02	0.28	0.7	0.11	0.15	1	0.49
0.12	0.03	0.03	0.92	0.07	0.1	1	0.61
0.4	0.01	0.31	0.75	0.02	0.01	0	0.16
0.6	0.03	0.49	0.56	0.05	0.02	1	0.13
0.15	0.02	0.02	0.85	0.42	0.11	1	0.98
1	0.12	1	0	0.08	0.58	1	0.1
0.67	0	0.12	0.74	0.45	0.07	1	0.31
0.13	0.01	0.02	0.96	0.09	0.02	0.76	0.42
0.06	0.01	0	0.94	0.21	0.11	1	0.46
0.01	0.01	0.05	0.95	0.02	0.03	0	0.23
0	0.02	0.02	0.96	0.1	0.02	0	0.87
0.24	0.14	0.47	0.61	0.04	0.01	1	0.18
0.66	0.03	0.25	0.75	0.1	0.22	1	0.27
0.28	0.01	0.36	0.65	0.21	0.06	1	0.87
0.12	0.03	0.01	0.96	0.05	0.02	0.71	0.39
0.05	0.02	0	0.98	0.04	0.02	0	0.15
0.55	0	0.52	0.59	0.01	0.01	1	0.11
0.01	0.01	0.01	0.98	0.05	0.01	0.69	0.46
0.08	0.04	0.02	0.97	0.05	0.03	1	0.25
0.2	0.01	1	0.08	0.03	0	0	0.07
0.52	0.02	0.65	0.46	0.06	0.04	0	0.18
0.34	0	0.2	0.74	0.2	0.17	1	0.24
1	0.04	1	0.01	0.24	0.28	1	0.14
1	0.05	0.89	0.28	0.05	0.01	1	0.18
0.01	0	0.04	0.93	0.08	0.04	1	0.8
0.03	0.01	0.01	0.98	0.06	0.01	0.78	0.42
0.03	0.04	0.02	0.96	0.1	0.03	1	0.81
0.59	0.02	0.17	0.83	0.02	0.09	1	0.16
0.06	0.06	0.02	0.96	0.06	0.05	1	0.46
0.1	0	0.02	0.93	0.04	0.16	0	0.38
0.83	0.35	0.58	0.21	0.7	0.45	1	0.29
0.19	0.11	0.02	0.6	0.2	0.72	1	0.43
0.3	0	0.34	0.72	0.02	0.02	0	0.23
0.29	0.09	0.19	0.73	0.17	0.16	1	0.19
0.89	0.17	1	0	0.01	0.1	1	0.13
0.39	0	0.11	0.6	0.01	0.54	0	0.12
0.03	0	0.01	0.98	0.05	0.01	0	0.4
0.27	0.01	0.29	0.68	0.04	0.26	1	0.35
0.12	0	0.01	0.96	0.06	0.07	0	0.37
0.32	0.01	0.24	0.47	0.04	0.9	0	0.14
0.06	0	0.02	0.95	0.14	0.02	1	0.83
0.24	0.02	0.11	0.91	0.03	0.01	0	0.13
0.08	0.06	0.15	0.85	0.05	0.06	1	0.5
0.03	0	0.04	0.96	0.03	0.01	0.96	0.38
0.41	0.1	0.07	0.72	0.57	0.27	1	0.54
0.51	0	0.1	0.7	0.41	0.2	1	0.16
0.04	0.05	0.02	0.96	0.05	0.06	0.86	0.51
0.14	0	1	0.16	0.11	0.01	1	0.28
0.17	0.01	0.12	0.88	0.08	0.01	1	0.28
0.08	0.01	0.02	0.97	0.04	0.02	0.52	0.56
0.52	0.1	0.59	0.51	0.06	0.01	1	0.22
0.19	0	0.11	0.9	0.03	0.03	0	0.23
0.33	0.02	0.17	0.41	0.72	0.64	1	0.43
0.03	0	0.03	0.97	0.05	0.01	1	0.74
0.03	0	0.66	0.47	0.02	0.01	0	0.09
0.04	0.01	0.11	0.89	0.09	0.03	0.93	0.43
0.2	0.02	0.22	0.73	0.09	0.25	0	0.31
0.06	0	0.01	0.98	0.04	0.01	1	0.46
0.16	0.06	0.16	0.8	0.13	0.11	1	0.41
0.59	0.02	0.39	0.64	0.03	0.12	0	0.22
0.45	0.06	0.06	0.94	0.02	0.01	1	0.19
0.05	0.03	0.01	0.99	0.02	0.01	0.8	0.42
0.03	0.01	0.08	0.91	0.11	0.01	1	0.58
1	0.05	1	0	0.02	0.07	1	0.15
0.06	0.03	0.12	0.76	0.54	0.07	0.86	0.7
0.39	0.02	0.81	0.32	0.02	0.05	0	0.12
0.02	0.01	0.02	0.92	0.21	0.01	0	0.16
0.03	0.03	0.04	0.95	0.05	0.06	1	0.47
0.11	0.01	0.05	0.88	0.3	0.14	1	0.66
0.26	0.01	0	0.99	0.05	0.01	0	0.29
0.08	0.02	0.01	0.98	0.05	0.02	0.86	0.56
0.02	0	0.02	0.97	0.03	0.01	0.79	0.65
0.06	0.13	0.11	0.69	0.84	0.08	1	0.63
0.04	0.02	0	0.98	0.06	0.01	1	0.68
0.21	0.01	0.04	0.91	0.06	0.14	0	0.37
0.03	0	0.05	0.96	0.01	0.01	0.58	0.23
0.08	0.11	0.02	0.96	0.09	0.05	0.95	0.48
0.02	0.01	0	0.94	0.01	0.01	0	0.18
0.76	0.03	0.67	0.47	0.02	0.01	1	0.13
0.35	0.03	0.4	0.68	0.02	0.01	0	0.22
0.09	0.03	0.02	0.96	0.11	0.02	0.81	0.54
0.06	0.01	0.01	0.94	0.13	0.04	0	0.2
0.52	0.07	0.01	0.01	1	0.92	1	0.3
0.1	0.01	0.09	0.9	0.08	0.03	0.97	0.39
0.09	0.08	0.04	0.91	0.17	0.06	1	0.63
0.23	0	0.09	0.92	0.02	0.01	0	0.09
0.16	0.02	0.2	0.82	0.07	0.03	0.96	0.44
0.05	0	0	0.97	0.06	0.03	0	0.32
0.09	0.05	0.05	0.94	0.06	0.03	1	0.47
0.45	0.03	0.42	0.65	0.05	0.02	1	0.22
0.18	0.01	0.42	0.64	0.06	0.04	1	0.25
0.12	0.01	0.11	0.87	0.13	0.04	1	0.35
0.2	0.03	0.12	0.74	0.11	0.46	0	0.21
0.03	0.01	0.03	0.93	0.19	0.03	0.91	0.96
0.41	0.03	0.04	0.59	0.74	0.62	1	0.36
0.03	0	0.01	0.97	0.07	0.01	1	0.35
0.18	0.03	0.01	0.93	0.03	0.13	0	0.18
0.15	0.01	0.12	0.88	0.1	0.02	0	0.13
0.77	0.02	1	0	0.2	0.03	1	0.17
0.82	0.13	0.1	0.83	0.07	0.87	1	0.06
0.21	0	0.2	0.45	0.01	0.87	1	0.21
0.1	0.02	0.01	0.94	0.17	0.01	0	0.17
0.02	0.04	0.06	0.91	0.15	0.07	0.92	0.79
0.53	0.01	0.88	0.3	0.01	0.03	0	0.08
0.03	0.06	0.04	0.95	0.11	0.01	1	0.6
0.31	0	0.01	0.92	0.07	0.06	1	0.2
0.16	0.01	0.17	0.85	0.03	0.02	0	0.17
0.2	0.02	0.11	0.6	0.42	0.55	1	0.36
0.03	0.01	0.13	0.76	0.45	0.07	0	0.83
0.81	0.23	0.66	0.47	0.06	0.01	1	0.17
0.01	0	0.01	0.99	0.02	0.01	0	0.28
0.04	0	0.01	0.98	0.02	0.01	0	0.19
0.26	0.16	0.03	0.78	0.23	0.43	1	0.35
0.29	0.01	0.52	0.53	0.23	0.02	0	0.09
0.36	0.03	0.14	0.88	0.03	0.02	0	0.19
0.36	0.04	0.3	0.75	0.02	0.02	0	0.07
0.24	0.01	0.33	0.72	0.05	0.01	0	0.14
0.09	0	0	1	0.01	0.01	0	0.22
0.54	0.03	0.89	0.26	0.08	0.11	1	0.15
0.62	0.05	0.58	0.35	0.24	0.36	1	0.27
0.14	0.04	0.65	0.45	0.12	0.04	0	0.11
0.25	0.01	0.31	0.7	0.13	0.06	1	0.33
0.02	0.02	0.06	0.87	0.33	0.06	0.79	0.87
0.36	0.02	0.11	0.39	0.15	0.76	0.98	0.1
0.14	0.01	0.16	0.85	0.04	0.05	1	0.37
0.03	0	0.01	0.97	0.05	0.07	1	0.54
0.47	0.01	0.19	0.76	0.03	0.04	0	0.11
0.02	0.01	0.01	0.98	0.07	0.03	0	0.85
0.01	0	0	0.99	0.04	0.01	0.28	0.49
0.59	0	0.4	0.64	0.11	0.25	1	0.5
0.08	0.01	0.02	0.91	0.27	0.04	1	0.89
0.27	0.04	0.44	0.63	0.04	0.03	0	0.19
0.24	0.09	0.19	0.78	0.25	0.02	1	0.17
0.71	0.03	0.02	0.78	0.02	0.65	0	0.24
0.04	0.01	0.01	0.99	0.02	0	0.7	0.36
0.15	0.01	0.11	0.9	0.02	0.01	0	0.22
0.28	0.01	0.01	0.99	0.02	0.01	0.76	0.41
0.16	0.03	0.09	0.89	0.1	0.04	1	0.31
0.34	0.06	0.05	0.72	0.04	0.68	0	0.17
0.07	0.02	0.09	0.79	0.25	0.15	1	0.25
0.03	0	0.08	0.91	0.08	0.02	0.98	0.64
0.06	0.02	0.04	0.89	0.09	0.04	1	0.26
0.32	0.03	0.21	0.83	0.01	0.01	0	0.1
0.12	0.01	0.13	0.89	0.02	0.02	0	0.32
0.05	0.04	0	0.95	0.15	0.02	0	0.21
0.31	0	0.46	0.58	0.08	0.08	0	0.17
0.02	0.01	0.09	0.88	0.18	0.05	1	0.74
0.03	0	0.01	0.91	0.09	0.02	0	0.08
0.27	0.09	0.24	0.8	0.04	0.01	1	0.2
0.08	0.06	0.06	0.85	0.07	0.22	1	0.27
0.9	0.13	1	0	0.12	0.81	1	0.22
0.12	0.02	0.03	0.96	0.04	0.03	0.99	0.65
0.02	0	0	0.99	0.02	0	1	0.19
0.24	0.06	0.15	0.86	0.05	0.01	0	0.19
0.04	0.06	0.05	0.94	0.06	0.04	0.97	0.54
0.28	0.03	0.1	0.61	0.19	0.55	0	0.25
0.06	0.02	0.09	0.83	0.11	0.16	0	0.51
0.12	0	0.01	0.94	0.14	0.04	1	0.34
0.54	0.05	0.01	0.05	0.08	1	1	0.2
0.18	0.05	0.02	0.95	0.11	0.06	1	0.24
0.08	0.01	0	0.97	0.02	0	0	0.14
0.15	0.05	0.05	0.9	0.18	0.05	1	0.23
0.02	0.01	0.02	0.87	0.42	0.1	1	0.61
0.25	0.05	0.13	0.75	0.48	0.05	1	0.34
0.16	0.05	0.02	0.85	0.12	0.16	1	0.27
1	0.04	1	0	0	0	1	0
0.34	0.18	0.17	0.82	0.08	0.22	1	0.26
0.02	0.02	0.01	0.98	0.06	0.02	0	0.68
0.51	0.18	0.02	0.76	0.09	0.53	1	0.28
0.08	0.08	0.01	0.84	0.06	0.38	1	0.2
0.04	0.01	0	0.98	0.03	0.04	1	0.33
0.05	0	0.03	0.95	0.08	0.01	0	0.1
0.11	0.04	0.51	0.49	0.34	0.11	1	0.74
0.25	0.27	0.74	0.37	0.08	0.05	0.97	0.21
0.16	0	0.01	0.95	0.09	0.08	0	0.35
0.11	0.02	0.09	0.91	0.05	0.01	0	0.29
0.36	0.14	0.53	0.56	0.08	0.03	1	0.19
0.86	0.01	0.04	0.34	0.3	1	1	0.36
0.05	0.08	0.02	0.97	0.06	0.03	1	0.28
0.09	0.04	0.08	0.92	0.03	0.01	0	0.18
0.13	0	0.07	0.7	0.36	0.34	1	0.55
0.14	0.06	0.05	0.94	0.05	0.1	1	0.25
0.02	0.04	0.02	0.98	0.05	0.01	1	0.49
0.03	0.02	0.04	0.86	0.44	0.05	1	1
0.39	0.08	0.19	0.5	0.21	0.67	1	0.5
0.07	0.07	0.01	0.89	0.07	0.2	1	0.34
0.09	0	0.03	0.94	0.02	0.14	0	0.11
0.45	0.03	0.61	0.47	0.09	0.07	1	0.26
0.06	0.01	0.01	0.96	0.05	0.08	1	0.36
0.03	0.01	0.01	0.97	0.09	0.01	0.89	0.53
0.07	0	0.02	0.81	0.12	0.27	0	0.15
0.22	0	0	0.99	0.04	0.01	0.65	0.49
0.67	0.2	0.28	0.34	0.41	0.95	1	0.34
0.04	0	0.02	0.98	0.02	0.01	0	0.28
0.22	0.06	0.06	0.94	0.05	0.02	1	0.3
0.07	0	0	0.99	0.03	0.04	1	0.48
0.15	0.02	0.38	0.6	0.25	0.07	0	0.22
0.02	0.01	0.01	0.96	0.11	0	0	0.14
0.08	0.02	0	0.97	0.05	0.03	0	0.24
0.16	0	0.04	0.88	0.31	0.04	1	0.72
0.53	0.11	0.81	0.35	0.05	0.01	1	0.22
0.08	0.03	0.06	0.6	1	0.11	1	0.8
0.76	0.07	0.32	0.73	0.04	0.09	1	0.22
0.25	0.05	0.03	0.84	0.21	0.33	0	0.39
0.24	0.13	0.15	0.07	1	0.41	1	0.49
0.17	0.02	0.01	0.99	0.03	0.01	0	0.32
0.06	0.01	0.01	0.99	0.02	0.01	1	0.24
0.22	0.04	0.09	0.92	0.04	0	1	0.16
0.22	0.06	0.32	0.73	0.04	0.01	1	0.3
0.25	0.1	0.05	0.32	0.75	1	1	0.35
0.02	0	0.04	0.94	0.1	0.02	0.86	0.59
0.14	0.01	0.12	0.45	1	0.25	1	0.36
0.05	0.01	0.04	0.92	0.16	0.01	1	0.63
0.21	0.01	0.18	0.71	0.03	0.08	0	0.17
0.12	0.03	0.01	0.97	0.07	0.02	0.84	0.55
1	0	0.61	0.5	0.03	0.11	1	0.19
0.54	0.16	0.39	0.47	0.17	0.73	1	0.26
0.09	0.14	0.02	0.96	0.07	0.04	1	0.33
0.5	0.07	0.66	0.47	0.03	0.01	1	0.15
0.56	0.06	0.39	0.66	0.04	0.12	1	0.28
0.08	0	0.02	0.9	0.2	0.05	0	0.05
0.14	0.02	0.02	0.91	0.07	0.16	0	0.39
0.51	0.03	0.04	0.61	0.22	0.69	1	0.32
0.13	0.07	0.02	0.84	0.47	0.06	1	0.37
0.08	0	0.03	0.96	0.06	0.03	0	0.46
0.03	0.03	0.01	0.98	0.06	0.01	1	0.5
0.12	0	0.04	0.59	0.05	0.62	0	0.08
0.14	0.01	0.15	0.8	0.01	0.17	0	0.23
0.04	0.02	0.03	0.92	0.22	0.04	0.88	0.76
0.03	0	0.01	0.95	0.2	0.01	1	0.81
0.17	0.13	0.13	0.8	0.34	0.1	1	0.56
0.15	0.01	0.05	0.89	0.04	0.12	0	0.22
0.41	0.42	0.58	0.53	0.04	0.01	1	0.14
0.28	0.03	0.44	0.6	0.05	0.09	0	0.07
0.3	0.03	0.06	0.93	0.03	0.03	0	0.18
0.03	0.01	0.02	0.92	0.28	0.01	1	0.99
0.08	0.03	0.04	0.93	0.12	0.04	0.97	0.48
0.26	0.01	0.02	0.62	0.06	0.62	1	0.15
0.13	0.04	0.02	0.88	0.29	0.05	1	0.27
0.95	0.25	0.52	0.52	0.09	0.16	1	0.24
0.09	0.01	0	0.98	0.04	0.01	0.77	0.46
0.16	0.01	0.14	0.85	0.14	0.02	0.98	0.58
0.35	0.05	0.02	0.74	0.27	0.39	0	0.26
0.28	0	0.18	0.85	0.03	0.01	0	0.13
0.1	0.01	0.04	0.95	0.04	0.05	1	0.26
0.06	0.02	0.05	0.95	0.04	0.01	0	0.12
0.03	0	0.01	0.97	0.08	0.01	0.66	0.65
0.15	0.06	0.37	0.6	0.19	0.26	1	0.53
0.06	0	0.01	0.98	0.03	0.04	0.91	0.35
0.36	0.03	0.01	0	0.04	1	1	0.23
0.86	0.01	1	0.1	0.02	0.01	1	0.1
0.06	0	0.03	0.93	0.14	0.06	1	0.59
0.21	0.04	0.02	0.98	0.02	0.03	1	0.24
0.02	0.02	0	0.99	0.04	0.01	1	0.88
0.22	0	0.04	0.78	0.02	1	0	0.07
0.25	0.08	0.01	0.86	0.13	0.28	1	0.39
0.13	0.08	0.01	0.98	0.04	0.01	1	0.25
0.2	0.03	0.01	0.61	0.03	1	1	0.12
0.22	0.16	0.05	0.76	0.53	0.21	1	0.5
0.04	0.02	0.03	0.9	0.18	0.02	0	0.41
0.55	0.24	0.48	0.58	0.13	0.02	0.99	0.34
0.25	0.04	0.33	0.73	0.02	0.01	1	0.16
0.49	0.02	0.15	0.45	0.02	0.82	0	0.23
0.01	0	0.01	0.98	0.05	0.01	0.91	0.9
0.14	0.04	0.31	0.73	0.07	0.03	1	0.23
0.14	0.04	0.16	0.85	0.08	0.01	0	0.18
0.05	0.01	0.01	0.98	0.03	0.01	0	0.17
0.17	0.05	0.04	0.9	0.1	0.15	1	0.4
0.06	0	0.01	0.99	0.02	0.01	0	0.51
0.29	0.1	0.15	0.79	0.25	0.02	1	0.2
0.07	0.01	0.03	0.95	0.1	0.03	1	0.38
0.07	0.05	0.11	0.85	0.23	0.03	1	0.57
0.03	0.01	0.03	0.96	0.08	0.01	1	0.97
0.04	0.02	0.09	0.86	0.26	0.06	0.84	0.78
0.41	0.2	1	0.19	0.07	0.02	1	0.17
0.65	0.12	0.42	0.6	0.24	0.08	1	0.16
0.18	0.03	0.31	0.7	0.14	0.06	1	0.37
0.06	0.02	0.08	0.93	0.05	0.02	1	0.44
0.41	0.09	0.1	0.68	0.43	0.32	1	0.5
0.11	0.01	0.14	0.81	0.04	0.12	0	0.14
0.18	0.14	0.01	0.96	0.04	0.01	1	0.26
0.08	0.01	0.01	0.91	0.05	0.21	0	0.3
1	0.02	0.84	0.33	0.02	0.01	0	0.12
0.16	0.04	0.01	0.97	0.05	0.03	0	0.25
0.11	0.03	0.41	0.64	0.07	0.09	1	0.56
0.5	0.16	0.06	0.31	0.5	0.94	1	0.32
0.88	0.1	0.12	0.47	0.12	0.77	1	0.17
0.04	0.03	0.08	0.91	0.13	0.01	0.93	0.82
0.06	0	0.03	0.78	0.77	0.06	1	1
0.14	0.01	0.55	0.57	0.01	0	0	0.15
0.07	0	0	0.99	0.02	0.02	1	0.29
0.56	0.08	0.01	0.37	0.19	1	1	0.38
0.17	0.01	0.06	0.92	0.1	0.05	1	0.35
0.18	0.04	0.03	0.65	1	0.1	1	0.57
0.18	0.01	0.1	0.79	0.2	0.22	1	0.5
0.02	0.01	0.02	0.96	0.09	0.01	0.58	0.91
0.12	0.03	0.03	0.89	0.29	0.06	1	0.52
0.01	0.04	0.04	0.93	0.17	0.01	1	0.94
0.17	0	0.11	0.9	0.04	0	0	0.23
0.3	0.45	0.04	0.85	0.09	0.2	1	0.31
0.49	0.01	0.43	0.64	0.08	0.01	0	0.12
0.03	0.02	0.03	0.95	0.11	0.02	1	0.58
0.12	0.01	0.34	0.72	0.04	0.01	1	0.42
0.9	0.05	0.55	0.56	0.04	0.01	1	0.13
0.01	0.02	0	0.97	0.11	0.01	0	0.27
0.02	0	0.02	0.97	0.06	0.02	0.87	0.76
0.04	0	0.01	0.96	0.12	0.01	0.78	0.51
0.29	0.02	0	0.34	0.02	1	0	0.02
0.29	0.04	0.05	0.79	0.28	0.45	0	0.47
0.17	0.07	0.04	0.8	0.09	0.29	1	0.37
0.05	0.03	0.03	0.96	0.07	0.01	1	0.6
0.14	0.01	0	0.99	0.03	0.04	0.79	0.41
0.06	0.01	0	0.97	0.03	0.04	0	0.2
0.16	0.03	0.44	0.52	0.27	0.15	0	0.39
0.22	0.02	0.18	0.83	0.07	0.04	1	0.37
0.87	1	0.56	0.27	0.43	0.45	1	0.3
0.18	0.03	0.07	0.74	0.05	0.03	0	0.12
0.17	0.02	0.33	0.71	0.06	0.03	1	0.35
0.13	0	0	0.67	0	1	1	0.04
0.23	0.26	0.33	0.7	0.06	0.05	1	0.24
0.18	0.08	0.28	0.77	0.02	0.01	1	0.19
0.03	0.01	0.01	0.99	0.03	0	1	0.34
0.22	0.05	0.04	0.93	0.04	0.02	1	0.13
0.5	0.1	0.35	0.66	0.1	0.18	1	0.31
0.34	0.01	0.9	0.28	0.04	0.01	0	0.14
0.02	0.04	0.01	0.97	0.09	0.01	0.98	0.78
0.55	0.12	0.17	0.51	0.28	0.67	1	0.39
0.46	0.02	0.69	0.45	0.04	0.01	0	0.21
0.15	0	0.01	0.85	0.07	0.21	0	0.19
0.06	0	0.13	0.87	0.11	0.02	1	0.54
0.03	0.03	0.02	0.96	0.08	0.03	0.97	0.53
0.06	0.01	0.11	0.89	0.1	0.01	1	0.68
0.12	0	0.07	0.94	0.04	0.01	1	0.6
0.19	0.08	0.06	0.87	0.22	0.1	1	0.44
0.16	0.07	0.71	0.43	0.03	0.01	1	0.15
0.48	0.36	0.61	0.41	0.11	0.16	1	0.18
0.24	0.01	1	0.19	0.01	0.01	0	0.14
0.1	0.01	0.08	0.78	0.03	0.41	0	0.17
0.16	0.05	0.56	0.54	0.05	0.03	1	0.16
0.08	0.03	0.04	0.93	0.14	0.03	0.98	0.62
0.23	0.02	0.98	0.22	0.01	0.01	0	0.09
0.07	0.01	0.01	0.95	0.16	0.08	1	0.48
0.14	0.01	0.01	0.96	0.04	0.04	0.94	0.3
0.15	0	0.02	0.76	0.05	0.03	0	0.05
0.12	0	0.27	0.76	0.11	0.02	1	0.44
0.13	0.01	0.12	0.87	0.15	0.03	1	0.32
0.04	0.03	0.01	0.99	0.03	0.01	0.87	0.35
0.06	0.06	0.15	0.84	0.08	0.07	0.97	0.21
0.25	0.02	0.21	0.75	0.06	0.12	0	0.21
0.04	0.01	0.02	0.77	0.84	0.05	1	1
0.05	0.01	0.03	0.62	1	0.21	1	0.4
0.11	0	0.02	0.95	0.11	0.04	1	0.52
0.17	0.02	0.02	0.82	0.64	0.07	1	0.78
0.07	0	0.02	0.57	0.03	1	0	0.06
0.02	0.01	0.02	0.95	0.15	0.01	1	0.85
0.06	0	0.05	0.91	0.19	0.02	0.95	0.76
0.7	0.25	0.31	0.74	0.06	0.01	1	0.14
0.12	0	0.14	0.88	0.04	0.03	0.85	0.43
0.21	0.01	0.19	0.85	0.01	0.01	0	0.16
0.09	0.13	0.05	0.78	0.14	0.32	0.99	0.44
0.08	0	0	0.98	0.05	0.04	1	0.53
0.63	0.1	0.39	0.67	0.05	0.06	1	0.21
0.11	0.02	0.01	0.98	0.06	0.02	1	0.53
0.03	0	0.01	0.69	1	0.07	1	1
0.1	0.02	0	0.96	0.06	0.06	0	0.19
0.21	0.04	0.06	0.83	0.07	0.03	0	0.31
0.32	0.08	0.08	0.9	0.12	0.03	1	0.45
0.32	0.16	0.23	0.79	0.03	0.04	1	0.17
0.02	0.01	0.01	0.99	0.02	0	0	0.33
0.08	0.01	0.03	0.96	0.06	0.02	0.17	0.53
0.29	0.02	0.2	0.83	0.06	0.02	0	0.24
0.87	0	0.75	0.39	0.05	0.02	0	0.12
0.74	0.62	0.62	0.48	0.11	0.02	1	0.33
0.24	0.03	0.02	0.88	0.06	0.2	1	0.12
0.14	0.01	0.01	0.98	0.03	0.02	1	0.42
0.21	0.02	0.05	0.96	0.02	0	1	0.17
0.19	0.01	0.16	0.86	0.03	0.01	0	0.05
0.1	0.11	0.11	0.83	0.23	0.11	1	0.34
0.09	0	0.02	0.92	0.21	0.03	1	0.42
0.06	0	0.04	0.93	0.1	0.03	0	0.13
0.19	0.1	0.07	0.84	0.04	0.13	1	0.25
0.21	0.16	0.35	0.64	0.16	0.18	1	0.63
0.2	0.01	0.36	0.71	0.02	0.01	0	0.16
0.21	0.44	0.14	0.78	0.15	0.17	1	0.28
0.91	0.01	0.85	0.32	0.02	0.01	0	0.14
0.6	0.03	0.7	0.44	0.03	0.02	1	0.17
0.16	0.01	0.01	0.95	0.02	0.1	1	0.13
0.06	0.02	0.01	0.9	0.09	0.1	1	0.32
0.14	0.07	0.11	0.27	1	0.34	1	0.73
0.5	0.02	0.27	0.78	0.04	0.01	1	0.34
0.29	0.02	0.35	0.71	0.04	0.03	1	0.33
0.02	0.02	0.03	0.96	0.05	0.04	0.75	0.52
0.21	0.04	0.04	0.93	0.12	0.08	1	0.49
0.12	0	0.03	0.91	0.23	0.05	1	0.73
0.36	0.04	0.02	0.11	0.08	1	1	0.18
0.03	0.01	0.01	0.99	0.02	0	1	0.42
0.09	0	0.23	0.71	0.23	0.15	1	0.46
0.11	0.03	0.2	0.83	0.04	0.01	0	0.18
0.1	0.02	0.14	0.83	0.16	0.07	0.64	0.5
0.08	0.02	0.07	0.93	0.07	0.01	0	0.26
0.09	0.01	0.15	0.84	0.12	0.02	0	0.13
0.53	0.58	0.3	0.39	0.92	0.3	1	0.27
0.35	0	0.15	0.83	0.02	0.16	1	0.24
0.05	0.02	0.01	0.99	0.03	0.04	0	0.65
0.22	0.03	0.03	0.84	0.43	0.12	1	0.58
0.25	0	0.03	0.82	0.21	0.18	1	0.12
