district,urban,living.children,age_mean,contraceptive_use
107,0,1,-13.56,0
107,0,3,1.44,0
108,1,1,-10.559,1
108,1,3,0.44,1
108,0,1,19.44,0
108,0,2,-5.5599,0
108,0,1,-11.56,0
108,0,4,7.44,1
108,0,3,2.44,0
108,0,1,-9.5599,0
108,0,2,-6.5599,1
108,0,4,19.44,1
108,0,3,-8.5599,0
108,0,3,-6.5599,0
108,0,4,19.44,1
108,0,4,13.44,1
108,0,2,-9.5599,0
108,0,1,-6.5599,0
108,0,4,12.44,0
108,0,4,16.44,0
108,0,2,7.44,0
108,0,1,-9.5599,0
108,0,4,-2.5599,0
108,0,2,-7.5599,1
108,0,4,11.44,0
108,0,4,9.44,0
108,0,2,0.44,0
108,0,2,-7.5599,1
108,0,1,-13.56,0
108,0,3,0.44,1
108,0,1,-6.5599,0
108,0,2,-3.5599,0
108,0,2,-6.5599,1
108,0,1,-12.56,0
108,0,4,-1.5599,0
108,0,4,5.44,1
108,0,3,-4.5599,1
108,0,1,-7.5599,0
108,0,4,1.44,1
109,1,4,7.44,1
109,1,3,-3.5599,1
109,0,3,1.44,0
109,0,4,-4.5599,1
109,0,2,-9.5599,1
109,0,4,-0.5599,0
109,0,3,2.44,1
109,0,1,-11.559,0
109,0,4,10.44,0
109,0,3,-10.559,0
109,0,1,-12.56,0
109,0,1,-12.56,0
109,0,3,-4.5599,1
109,0,4,10.44,0
109,0,3,-5.5599,0
109,1,4,16.44,0
109,0,4,15.44,0
109,0,4,11.44,0
109,0,4,10.44,1
109,0,4,-3.5599,0
109,0,2,-8.5599,0
109,0,2,-6.56,0
109,0,4,-5.5599,0
110,0,1,-11.559,0
110,0,1,13.44,0
110,0,4,15.44,0
110,0,2,3.44,1
110,0,1,12.44,0
110,0,1,-12.559,0
110,0,4,6.44,0
110,0,1,-9.5599,0
110,0,3,18.44,0
110,0,3,19.44,0
110,0,2,-6.5599,0
110,0,4,15.44,0
110,0,4,3.44,0
111,0,1,-8.5599,0
111,0,2,-5.5599,0
111,0,1,-12.559,0
111,0,1,-8.5599,0
111,0,1,-3.5599,0
111,0,2,-5.5599,0
111,0,2,2.44,0
111,0,3,-2.5599,0
111,0,1,-8.5599,0
111,0,1,-6.56,0
111,0,4,18.44,0
111,0,2,18.44,0
111,0,1,3.44,0
111,0,2,0.44,0
111,0,1,-9.5599,0
111,0,4,2.44,0
111,0,4,19.44,0
111,0,2,-8.5599,0
111,0,1,-9.5599,0
111,0,1,-8.5599,0
111,0,1,-11.559,0
112,1,4,9.44,1
112,1,3,-5.5599,0
112,1,4,-3.5599,0
112,0,4,9.44,1
112,0,4,6.44,0
112,0,1,-1.5599,0
112,0,1,-11.559,1
112,0,4,2.44,0
112,0,3,-5.5599,0
112,0,4,5.44,0
112,0,4,11.44,1
112,0,3,-1.5599,0
112,0,4,8.44,1
112,0,1,-4.5599,0
112,0,2,-7.5599,0
112,0,4,19.44,0
112,1,1,4.44,1
112,0,4,-1.5599,0
112,0,4,18.44,1
112,0,3,-2.5599,0
112,0,1,-5.5599,1
112,0,4,10.44,0
112,0,4,4.44,1
112,0,4,5.44,0
112,0,4,3.44,0
112,1,4,18.44,0
112,0,2,-1.5599,1
112,0,4,3.44,0
112,1,4,17.44,0
113,1,1,-11.559,0
113,0,4,16.44,0
113,0,4,0.44,1
113,0,4,-1.5599,1
113,0,4,15.44,0
113,0,2,0.44,0
113,0,1,10.44,0
113,0,4,4.44,1
113,0,2,-3.5599,1
113,1,4,6.44,1
113,1,1,-7.5599,1
113,0,1,-7.5599,0
113,1,1,-5.5599,0
113,1,2,-12.559,0
113,1,4,10.44,0
113,1,2,-3.5599,1
113,1,1,-8.5599,0
113,0,4,12.44,1
113,0,4,3.44,0
113,0,3,-7.5599,1
113,0,4,-2.5599,0
113,0,1,-2.5599,0
113,0,1,13.44,0
113,0,4,0.44,1
114,1,1,-11.559,1
114,1,1,7.44,0
114,1,1,0.44,0
114,1,1,-7.5599,1
114,1,4,3.44,0
114,1,2,-4.5599,1
114,1,4,12.44,1
114,1,2,-7.5599,0
114,1,4,2.44,1
114,1,1,-10.559,0
114,1,1,-10.559,0
114,1,4,14.44,1
114,1,4,6.44,1
114,1,1,-11.559,1
114,1,4,3.44,1
114,1,3,-2.5599,1
114,1,4,-1.56,1
114,1,3,2.44,1
114,1,4,5.44,1
114,1,4,4.44,1
114,1,4,6.44,1
114,1,1,2.44,0
114,1,1,-8.5599,0
114,1,1,-9.5599,1
114,1,1,-11.559,1
114,1,4,2.44,0
114,1,1,-8.5599,1
114,1,4,2.44,1
114,1,4,4.44,1
114,1,4,7.44,1
114,1,1,-9.5599,1
114,1,3,-4.5599,1
114,1,2,-8.5599,0
114,1,3,0.44,1
114,1,4,17.44,1
114,1,3,-7.5599,1
114,1,4,0.44,1
114,1,4,13.44,1
114,1,1,0.44,1
114,1,4,7.44,1
114,1,1,-1.5599,0
114,1,1,-12.559,1
114,1,3,18.44,0
114,1,4,7.44,1
114,1,1,-8.5599,1
114,1,4,11.44,1
114,1,4,13.44,1
114,1,1,-10.559,0
114,1,2,-7.5599,1
114,1,3,-4.5599,1
114,1,3,-2.5599,0
114,1,1,0.44,1
114,1,3,0.44,0
114,0,2,2.44,1
114,0,2,-5.5599,1
114,0,4,-3.5599,0
114,0,4,-5.5599,1
114,0,1,-12.559,0
114,0,2,-8.5599,0
114,0,4,17.44,1
114,1,2,-3.5599,0
114,1,1,-8.5599,1
114,1,2,3.44,1
114,1,1,-6.5599,0
114,1,3,3.44,1
114,1,1,-8.5599,1
114,1,3,-7.5599,1
114,1,1,-9.5599,1
114,1,2,-5.5599,1
114,1,2,-3.5599,1
114,1,4,10.44,1
114,0,4,10.44,1
114,1,1,-3.5599,1
114,1,2,-7.5599,1
114,1,1,-8.5599,1
114,1,3,-6.56,0
114,1,3,0.44,1
114,1,4,8.44,0
114,1,2,-10.559,0
114,1,3,4.44,1
114,1,2,-6.5599,1
114,1,2,-11.559,0
114,1,4,16.44,1
114,1,1,-5.5599,0
114,0,1,-10.56,0
114,1,4,16.44,1
114,1,1,-9.5599,0
114,1,1,-10.559,0
114,1,1,-13.559,1
114,1,1,-10.559,1
114,1,4,14.44,0
114,1,1,-11.559,1
114,0,1,-12.559,1
114,1,4,12.44,0
114,1,3,-2.5599,1
114,0,4,18.44,0
114,1,1,-6.5599,1
114,1,4,9.44,1
114,1,2,-10.559,1
114,0,4,17.44,0
114,1,1,-13.559,1
114,1,2,2.44,0
114,1,3,3.44,1
114,1,2,-8.5599,1
114,1,4,8.44,1
114,1,2,-1.5599,1
114,1,2,-4.5599,0
114,1,4,0.44,0
114,1,2,6.44,0
114,0,3,-6.5599,0
114,1,1,-12.559,0
114,1,2,-5.5599,1
114,1,1,-10.559,0
114,1,2,-10.559,0
114,0,3,6.44,0
114,0,2,-7.5599,0
114,0,4,0.44,0
114,0,2,-1.5599,0
115,1,1,-4.5599,1
115,0,1,-9.5599,0
115,0,2,4.44,0
115,0,1,-2.5599,0
115,0,1,-12.559,0
115,0,2,-4.5599,1
115,0,1,-10.559,0
115,0,2,-5.5599,1
115,0,1,-7.56,0
115,0,2,-8.5599,0
115,0,3,-2.5599,1
115,1,4,-0.5599,1
115,0,4,8.44,1
115,1,1,-13.559,0
115,0,3,-3.5599,1
115,0,3,10.44,0
115,1,4,14.44,1
115,1,4,19.44,0
115,1,2,0.44,0
115,1,4,2.44,0
115,1,4,1.44,0
115,0,2,-5.5599,0
116,1,3,-0.5599,1
116,0,1,-12.56,0
116,0,1,-12.56,0
116,0,1,-12.56,0
116,0,1,-8.5599,1
116,0,3,17.44,1
116,0,3,8.44,1
116,0,4,4.44,0
116,0,1,-13.559,0
116,0,2,0.44,0
116,0,4,10.44,1
116,0,3,18.44,0
116,0,1,-12.56,0
116,1,1,-9.5599,1
116,0,2,-10.559,1
116,0,1,-10.559,0
116,0,1,-10.559,1
116,0,1,-10.559,1
116,0,3,4.44,1
116,0,2,-6.5599,1
117,0,4,-0.5599,1
117,0,4,4.44,1
117,0,1,-12.559,0
117,0,4,-5.5599,0
117,0,3,-2.5599,0
117,0,4,7.44,1
117,0,4,9.44,0
117,0,4,-2.5599,1
117,0,4,0.44,0
117,0,3,-0.5599,1
117,0,1,-12.559,0
117,0,4,5.44,1
117,0,4,11.44,0
117,0,1,-4.5599,0
117,0,4,-5.5599,0
117,0,4,15.44,0
117,0,4,9.44,0
117,0,4,-2.5599,0
117,0,1,-11.559,0
117,0,2,-5.5599,0
117,0,2,-7.5599,0
117,0,1,1.44,0
117,0,4,0.44,1
117,0,1,-12.559,0
118,1,2,-5.5599,1
118,1,4,2.44,1
118,1,1,-7.5599,0
118,1,3,0.44,1
118,1,4,15.44,1
118,1,1,-7.5599,0
118,1,1,-8.5599,1
118,1,4,8.44,1
118,0,1,-12.559,0
118,0,2,-6.5599,1
118,0,1,-10.559,0
118,0,4,-0.5599,1
118,0,3,1.44,0
118,0,1,-13.56,0
118,0,4,15.44,0
118,0,4,12.44,0
118,0,4,17.44,0
118,0,4,6.44,1
118,0,4,8.44,0
118,0,3,-2.5599,0
118,0,4,4.44,0
118,0,2,-13.559,1
118,0,4,-2.5599,0
118,0,3,-6.5599,0
118,0,3,-6.5599,0
118,0,4,16.44,0
118,1,1,-1.56,0
118,0,4,7.44,0
118,0,3,-5.5599,1
118,1,1,-11.559,0
118,0,2,-6.5599,1
118,0,1,-4.5599,0
118,1,3,-1.5599,0
118,1,3,1.44,0
118,0,1,-11.559,0
118,1,1,-9.5599,0
118,0,1,-13.56,1
118,0,4,-5.5599,1
118,0,2,-8.5599,0
118,0,1,-8.5599,0
118,0,1,0.44,0
118,0,1,-10.559,1
118,0,4,5.44,0
118,0,3,17.44,0
118,0,4,1.44,0
118,1,1,-9.5599,1
118,0,1,17.44,0
119,0,2,18.44,0
119,0,1,-6.5599,0
119,0,4,3.44,0
119,0,4,11.44,0
119,0,1,-9.5599,0
119,0,2,-6.5599,0
119,0,1,-1.5599,0
119,0,1,-10.56,0
119,0,4,3.44,1
119,0,2,3.44,1
119,0,4,2.44,1
119,0,2,-5.5599,0
119,0,2,5.44,0
119,0,4,2.44,1
119,0,4,5.44,0
119,0,1,0.44,1
119,1,2,-11.559,1
119,0,4,-5.5599,0
119,0,4,0.44,0
119,0,1,-2.5599,0
119,0,4,12.44,1
119,1,4,-1.5599,1
119,1,1,-2.5599,0
119,0,4,-0.5599,1
119,1,1,-12.559,1
119,0,2,14.44,0
120,0,3,-1.5599,0
120,0,3,3.44,0
120,0,1,-10.559,1
120,0,3,-5.5599,0
120,0,4,11.44,0
120,0,1,-13.559,0
120,0,1,8.44,0
120,0,4,12.44,1
120,0,4,-1.5599,1
120,0,1,-12.56,1
120,0,3,-0.5599,1
120,0,1,-13.559,0
120,0,4,17.44,0
120,0,1,-12.56,1
120,0,1,-12.56,0
121,1,4,19.44,0
121,1,1,-13.56,0
121,0,3,7.44,0
121,0,1,1.44,1
121,0,3,-1.5599,1
121,0,3,-2.5599,0
121,0,1,2.44,1
121,0,2,-0.5599,1
121,0,1,-10.559,0
121,1,1,-12.559,1
121,1,2,-6.5599,0
121,1,4,14.44,0
121,0,1,-7.5599,1
121,1,4,12.44,0
121,1,4,18.44,0
121,1,4,-3.5599,0
121,0,2,-7.5599,0
121,0,2,-4.5599,1
122,0,3,-5.5599,1
122,0,1,19.44,0
122,0,4,-1.5599,0
122,0,1,-10.559,0
122,0,4,-4.5599,0
122,0,4,17.44,0
122,0,2,-8.5599,0
122,0,3,-1.56,0
122,0,4,5.44,0
122,0,4,6.44,0
122,0,2,-1.5599,1
122,0,1,-11.559,0
122,0,3,-4.5599,1
122,0,4,0.44,0
122,0,4,17.44,0
122,0,2,4.44,0
122,0,3,3.44,0
122,0,4,0.44,0
122,0,3,-3.56,0
122,0,2,-3.5599,1
123,0,1,-8.5599,0
123,0,3,-1.5599,1
123,0,3,-2.5599,0
123,0,4,-1.5599,0
123,0,3,-5.56,0
123,0,1,-11.559,0
123,0,4,8.44,0
123,0,4,7.44,1
123,0,1,-11.559,0
123,0,3,5.44,1
123,0,4,8.44,0
123,0,4,10.44,1
123,0,3,-4.5599,0
123,0,2,10.44,0
123,0,4,16.44,0
124,0,4,-3.5599,0
124,0,2,-6.5599,0
124,0,4,17.44,0
124,0,4,9.44,0
124,0,1,-13.56,0
124,0,1,-11.559,0
124,0,1,-8.5599,0
124,0,4,4.44,0
124,0,1,6.44,0
124,0,4,6.44,1
124,0,1,-10.559,0
124,0,4,15.44,0
124,0,4,5.44,0
124,0,2,-4.5599,0
125,1,3,-5.5599,1
125,1,1,-3.5599,0
125,1,1,-1.5599,0
125,1,4,8.44,1
125,1,1,-11.559,0
125,1,1,-11.559,0
125,1,4,4.44,1
125,1,2,-7.5599,1
125,0,4,18.44,1
125,0,2,-3.5599,1
125,0,2,-8.5599,1
125,0,3,6.44,1
125,0,4,3.44,0
125,0,4,3.44,0
125,0,4,0.44,1
125,0,4,4.44,1
125,0,3,-5.5599,0
125,0,4,-9.5599,1
125,0,3,1.44,1
125,0,1,-12.56,0
125,0,3,-6.5599,0
125,0,3,2.44,0
125,0,4,10.44,1
125,0,4,4.44,1
125,0,4,7.44,0
125,0,2,-6.5599,1
125,0,4,0.44,1
125,0,4,-1.5599,1
125,0,4,14.44,1
125,0,4,18.44,0
125,0,3,-1.5599,0
125,0,4,-2.5599,1
125,1,1,-9.5599,0
125,0,1,-5.5599,0
125,0,2,-10.559,1
125,0,2,-5.5599,0
125,1,1,-8.5599,0
125,0,2,-2.5599,0
125,0,2,-5.5599,0
125,1,4,-1.5599,1
125,0,1,-1.5599,0
125,1,2,-0.5599,1
125,0,1,-8.5599,0
125,0,4,4.44,0
125,0,2,-11.559,1
125,0,4,-2.5599,0
125,1,1,0.44,0
125,0,1,-12.56,0
125,0,3,-0.56,0
125,0,4,1.44,0
125,0,4,5.44,0
125,0,4,5.44,1
125,0,4,1.44,1
125,0,2,-1.5599,0
125,1,2,9.44,1
125,1,4,-5.56,0
125,0,1,-11.56,0
125,0,4,5.44,1
125,0,3,5.44,1
125,0,2,-6.5599,0
125,0,4,4.44,1
125,0,1,-11.56,0
125,0,1,-13.56,0
125,0,2,-4.5599,0
125,1,4,1.44,1
125,1,1,-10.559,0
125,1,2,2.44,0
126,0,4,5.44,1
126,0,4,3.44,0
126,0,4,7.44,0
126,0,2,-8.5599,0
126,0,2,-9.5599,0
126,0,3,7.44,1
126,0,3,7.44,1
126,0,2,-2.5599,1
126,0,3,-2.5599,1
126,0,2,-5.5599,0
126,0,3,15.44,0
126,0,1,-9.5599,0
126,0,4,5.44,0
127,1,4,1.44,0
127,1,4,4.44,0
127,1,4,14.44,1
127,0,2,-6.56,0
127,0,4,15.44,0
127,0,1,-5.5599,1
127,0,1,-12.559,0
127,0,1,-1.5599,0
127,0,4,14.44,1
127,0,1,-10.559,0
127,0,3,-5.56,0
127,0,4,17.44,0
127,0,4,2.44,1
127,0,1,-13.559,0
127,0,3,-0.5599,1
127,0,4,8.44,0
127,0,2,-2.5599,0
127,0,1,-11.559,0
127,0,2,-5.5599,0
127,0,4,14.44,0
127,0,4,9.44,0
127,0,4,11.44,0
127,0,1,-7.56,0
127,0,1,-12.559,0
127,0,4,19.44,0
127,0,1,-9.5599,0
127,0,4,19.44,0
127,0,4,10.44,0
127,0,2,4.44,0
127,0,2,2.44,0
127,0,1,0.44,0
127,1,1,-9.5599,1
127,0,4,6.44,0
127,0,3,6.44,0
127,0,1,-12.559,0
127,0,4,11.44,0
127,0,1,-5.5599,1
127,0,4,18.44,0
127,0,4,10.44,0
127,0,3,9.44,1
127,0,1,-12.559,0
127,1,1,-2.5599,0
127,0,4,14.44,0
127,0,2,-4.5599,0
128,1,4,10.44,0
128,1,4,4.44,1
128,0,3,-2.5599,1
128,0,4,18.44,0
128,0,4,10.44,1
128,0,4,-1.5599,1
128,0,4,9.44,0
128,0,1,-13.56,1
128,0,4,18.44,0
128,0,4,11.44,1
128,0,1,-12.559,0
128,0,4,5.44,1
128,0,4,18.44,0
128,0,2,-2.5599,0
128,0,3,-2.5599,0
128,0,1,-10.559,0
128,0,4,10.44,0
128,0,3,-9.5599,0
128,0,4,8.44,0
128,1,4,9.44,0
128,0,4,3.44,0
128,0,1,-7.56,0
128,0,2,-7.56,0
128,0,4,19.44,0
128,0,2,0.44,0
128,0,3,8.44,0
128,1,4,-1.5599,0
128,0,2,-0.5599,0
128,0,1,-12.559,0
128,0,2,-9.5599,1
128,0,1,-11.559,0
128,0,2,-9.5599,0
128,0,4,9.44,1
128,0,4,18.44,0
128,0,1,-12.559,0
128,0,2,-6.56,0
128,0,1,-13.56,0
128,0,4,6.44,0
128,0,1,-9.5599,0
128,0,2,-1.56,0
128,0,4,9.44,1
128,0,3,-2.5599,1
128,0,1,-7.56,0
128,0,4,19.44,0
128,0,3,-0.5599,0
128,0,4,16.44,0
128,0,4,1.44,0
128,0,1,-7.56,0
128,0,4,1.44,1
129,1,4,9.44,0
129,1,1,-5.5599,0
129,1,4,7.44,1
129,1,3,0.44,1
129,0,1,-13.559,0
129,0,1,-10.559,0
129,0,1,4.44,0
129,0,1,-4.5599,0
129,0,1,-12.559,1
129,0,4,8.44,1
129,0,4,19.44,0
129,0,3,18.44,0
129,0,1,-11.559,0
129,0,2,-5.5599,0
129,0,2,-8.5599,1
129,1,1,10.44,1
129,1,1,-0.5599,0
129,0,4,0.44,1
129,0,4,10.44,0
129,0,1,-8.5599,0
129,0,4,11.44,0
129,0,3,-0.5599,0
129,0,4,-1.5599,0
129,0,1,-7.56,0
129,0,3,-5.5599,0
129,1,4,12.44,1
129,0,2,-9.5599,0
129,0,1,-9.5599,0
129,0,4,2.44,1
129,0,1,-7.56,0
129,0,1,-9.5599,0
129,0,1,-9.5599,0
130,1,2,-0.5599,1
130,1,3,5.44,1
130,1,4,5.44,1
130,1,2,-6.5599,0
130,1,3,-3.56,0
130,1,4,19.4399,1
130,1,3,0.44,1
130,1,4,19.4399,1
130,1,1,-8.5599,0
130,1,2,-2.5599,1
130,1,2,-2.5599,1
130,1,1,-10.559,0
130,0,1,-9.5599,0
130,0,4,6.44,1
130,0,1,-11.559,0
130,0,4,8.44,1
130,0,2,-7.5599,0
130,0,4,6.44,0
130,0,2,-4.5599,1
130,0,1,-11.559,0
130,0,2,-4.5599,1
130,0,4,9.44,1
130,0,2,-8.5599,0
130,0,2,-6.5599,0
130,0,2,-0.5599,0
130,0,4,7.44,1
130,0,2,8.44,1
130,0,1,-9.5599,0
130,0,3,0.44,0
130,0,1,-10.559,0
130,0,1,-9.5599,0
130,0,3,0.44,0
130,0,1,-10.559,0
130,0,4,9.44,0
130,0,4,17.44,0
130,0,3,-0.5599,1
130,0,4,11.44,1
130,0,4,7.44,1
130,0,1,3.44,0
130,0,4,2.44,1
130,0,1,12.44,0
130,0,1,-10.559,1
130,0,4,8.44,0
130,1,2,-0.5599,1
130,0,1,-11.559,0
130,0,2,-1.5599,1
130,1,2,5.44,1
130,0,2,2.44,1
130,0,4,17.44,1
130,0,1,-13.559,0
130,0,1,-11.559,0
130,0,2,-4.5599,1
130,0,4,-6.5599,1
130,0,1,-6.5599,0
130,0,1,-10.559,0
130,1,2,-8.5599,1
130,0,1,4.44,0
130,0,4,15.44,0
130,1,4,8.44,1
130,0,2,-8.5599,0
130,0,4,9.44,1
131,1,1,-6.5599,1
131,1,4,0.44,1
131,1,1,-11.559,0
131,0,4,17.44,0
131,0,2,17.44,0
131,0,2,-2.56,0
131,0,4,10.44,0
131,0,4,14.44,0
131,0,1,-10.559,0
131,0,2,-0.5599,1
131,0,4,18.44,0
131,0,1,-10.559,1
131,0,1,-11.559,0
131,0,4,2.44,1
131,0,3,-7.5599,1
131,0,2,-7.5599,1
131,0,3,-0.5599,1
131,0,4,6.44,1
131,0,1,-9.5599,0
131,0,1,-9.5599,0
131,0,4,3.44,1
131,0,1,-11.559,0
131,0,4,14.44,1
131,0,1,-13.559,0
131,0,4,0.44,0
131,0,4,0.44,0
131,1,4,16.44,0
131,0,2,-0.5599,1
131,0,2,-9.5599,1
131,1,4,2.44,1
131,0,4,18.44,1
131,0,4,8.44,0
131,1,4,15.44,0
132,0,1,-2.5599,0
132,0,4,0.44,0
132,0,3,-2.5599,0
132,0,3,-3.5599,0
